symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-04-02 00:00:00+00:00,88.52,90.88,87.51,90.47,48515417,83.5165805688,85.7431861963,82.5636688384,85.3563606423,48515417,0.0,1.0
MSFT,2018-04-03 00:00:00+00:00,89.71,90.05,87.89,89.58,37213837,84.6393181521,84.9601003188,82.9221900835,84.5166661472,37213837,0.0,1.0
MSFT,2018-04-04 00:00:00+00:00,92.33,92.76,87.73,87.85,35559956,87.1112277894,87.5169228825,82.7712337698,82.8844510051,35559956,0.0,1.0
MSFT,2018-04-05 00:00:00+00:00,92.38,93.07,91.4,92.44,29771881,87.1584016374,87.8094007404,86.2337942159,87.2150102551,29771881,0.0,1.0
MSFT,2018-04-06 00:00:00+00:00,90.23,92.46,89.48,91.49,38026000,85.1299261717,87.2338797943,84.4223184512,86.3187071423,38026000,0.0,1.0
MSFT,2018-04-09 00:00:00+00:00,90.77,93.17,90.62,91.04,31533943,85.6394037306,87.9037484365,85.4978821864,85.89414251,31533943,0.0,1.0
MSFT,2018-04-10 00:00:00+00:00,92.88,93.28,91.64,92.39,26939883,87.6301401178,88.0075309021,86.4602286864,87.167836407,26939883,0.0,1.0
MSFT,2018-04-11 00:00:00+00:00,91.86,93.29,91.48,92.01,24872110,86.6677936178,88.0169656717,86.3092723727,86.8093151619,24872110,0.0,1.0
MSFT,2018-04-12 00:00:00+00:00,93.58,94.16,92.43,92.43,26758879,88.2905739904,88.8377906276,87.2055754855,87.2055754855,26758879,0.0,1.0
MSFT,2018-04-13 00:00:00+00:00,93.08,94.18,92.44,94.05,23346063,87.81883551,88.8566601668,87.2150102551,88.7340081619,23346063,0.0,1.0
MSFT,2018-04-16 00:00:00+00:00,94.17,94.66,93.42,94.07,20288083,88.8472253972,89.309529108,88.1396176766,88.7528777012,20288083,0.0,1.0
MSFT,2018-04-17 00:00:00+00:00,96.07,96.54,94.88,95.0,26771000,90.6398316227,91.0832657943,89.5170940394,89.6303112747,26771000,0.0,1.0
MSFT,2018-04-18 00:00:00+00:00,96.44,96.72,95.52,96.22,21043287,90.9889180982,91.2530916472,90.1209192943,90.7813531668,21043287,0.0,1.0
MSFT,2018-04-19 00:00:00+00:00,96.11,97.07,95.34,96.44,23552541,90.6775707012,91.5833085835,89.9510934414,90.9889180982,23552541,0.0,1.0
MSFT,2018-04-20 00:00:00+00:00,95.0,96.11,94.05,95.91,31154377,89.6303112747,90.6775707012,88.7340081619,90.488875309,31154377,0.0,1.0
MSFT,2018-04-23 00:00:00+00:00,95.35,96.29,94.63,95.74,22331829,89.960528211,90.8473965541,89.2812247992,90.3284842257,22331829,0.0,1.0
